7,119,64,82,97,79,76,82
8,78,88,77,80,57,76,77
9,112,104,132,102,59,87,86
10,102,93,89,60,60,103,84
11,87,41,62,72,74,51,67
12,78,61,77,62,84,88,82
13,36,71,60,83,70,82,62
14,37,57,75,83,76,71,40
15,43,90,69,100,38,38,52
16,68,52,57,56,54,46,55
17,45,20,21,72,39,83,45
18,49,54,75,82,53,85,85
19,76,79,77,56,74,78,80
20,46,36,41,43,70,51,55
21,45,47,73,58,56,75,61
22,69,74,79,66,80,73,81
23,83,75,72,79,46,48,41
24,71,60,62,44,72,87,67
25,67,47,37,28,36,25,43
26,29,47,51,45,44,39,36
27,51,58,49,62,32,38,43
28,59,56,24,39,36,45,60
29,46,40,78,64,37,47,66
30,64,75,56,61,41,39,72
31,63,36,48,77,37,19,31
32,47,57,34,33,59,39,65
33,51,26,49,50,65,29,64
34,61,50,46,25,35,69,51
35,53,36,85,52,30,68,90
36,68,76,62,67,90,58,47
37,82,73,98,81,66,60,69
38,92,41,86,93,72,53,50
39,52,53,82,96,64,52,72
40,61,56,52,57,50,78,76
41,46,47,65,67,55,55,62
42,88,64,85,88,92,76,88
43,81,73,99,55,104,78,66
44,96,97,81,85,76,71,90
45,87,97,103,91,95,98,101
46,92,93,73,93,85,96,97
47,92,98,113,96,115,112,110
48,93,106,100,71,95,109,132
49,121,118,119,112,119,123,113
50,131,90,115,112,131,177,210
51,131,111,98,118,125,108,127
0,122,97,117,102,129,178,115
1,123,115,105,119,129,103,139
2,99,102,119,96,143,89,103
3,103,113,98,104,110,115,111
4,93,100,80,132,107,92,97
5,143,184,215,148,107,87,99
6,109,113,129,90,95,135,109
7,137,81,98,119,93,101,109
8,93,116,107,99,77,92,94
9,128,164,213,113,75,110,107
10,128,111,121,72,74,120,91
11,109,63,87,94,90,81,97
12,93,91,93,94,105,103,101
13,70,87,79,104,80,96,78
14,71,91,88,113,94,95,62
15,74,106,92,109,55,57,75
16,66,77,87,76,68,64,65
17,79,35,52,86,50,109,55
18,59,101,92,94,105,112,95
19,91,111,100,92,90,90,102
20,97,89,99,113,94,88,92
21,114,99,93,89,69,70,53
22,72,50,56,69,86,76,82
23,73,69,91,70,80,97,90
24,89,82,92,75,99,94,73
25,84,70,57,43,65,51,55
26,45,61,68,67,70,68,64
27,77,76,80,80,64,52,74
28,80,70,48,63,51,79,75
29,64,61,93,95,60,64,81
30,89,100,71,78,60,58,98
31,87,53,62,100,48,51,42
32,72,68,50,62,79,49,89
33,77,61,60,57,82,58,84
34,59,51,41,30,34,65,52
35,66,55,95,75,55,81,99
36,67,75,54,67,81,59,51
37,73,69,92,75,56,74,66
38,79,42,68,76,54,52,53
39,77,76,94,103,85,57,72
40,91,64,51,75,86,74,79
41,70,83,71,76,75,65,78
42,94,90,100,99,100,96,116
43,115,101,110,70,141,98,75
44,108,121,113,79,95,100,112
45,91,102,117,126,133,98,98
46,112,113,66,110,107,118,117
47,122,90,130,105,128,133,106
48,115,125,117,101,114,133,136
49,126,130,118,123,130,127,132
50,132,127,115,136,121,127,127
51,106,133,123,123,121,138,125
0,130,111,127,154,184,185,218
1,159,142,117,134,141,127,142
2,122,122,150,130,154,172,168
3,138,151,107,139,123,109,103
4,104,115,112,132,111,130,97
5,145,182,224,150,124,107,134
6,123,112,119,111,90,147,105
7,160,92,137,129,114,100,111
